Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Provost, EJ; Butcher, PA; Coleman, MA; Kelaher, BP",,,,"Provost, Euan J.; Butcher, Paul A.; Coleman, Melinda A.; Kelaher, Brendan P.",,,Assessing the viability of small aerial drones to quantify recreational fishers,FISHERIES MANAGEMENT AND ECOLOGY,,,English,Article,,,,,,Drone-based techniques; fisheries management; pressure count; recreational fishing survey; RPAS; UAV,FISHING EFFORT; MANAGEMENT; OPPORTUNITIES; PROBABILITY; RELIABILITY; TECHNOLOGY; PROVIDE; CAMERAS; HARVEST; IMAGERY,"Understanding fishing participation assists sustainable fisheries management. Relative to commercial fisheries, however, accurate quantitative data on recreational fishing is often more challenging to collect. The quality and robustness of recreational fishing surveys to assess fisher numbers may be improved with cost-effective remote sensing platforms, such as aerial drones. Here, the precision and cost-effectiveness of drone-based surveys were compared with more traditional vessel-based surveys of recreational fishing participation at four locations on the east coast of Australia. Although vessel-based surveys had greater initial costs, this technique observed more fishers, took less time to complete and did not require post-processing of video footage. In comparison, the drone-based video surveys provided greater precision and a permanent record of fishing activity. Currently, drone-based techniques do not provide a substantial improvement to traditional vessel-based counts of fishers. The complimentary use of drones appears to be an appropriate application of this technology for supporting fisheries management.","[Provost, Euan J.; Kelaher, Brendan P.] Southern Cross Univ, Natl Marine Sci Ctr, 2 Bay Dr, Coffs Harbour, NSW, Australia; [Provost, Euan J.; Kelaher, Brendan P.] Southern Cross Univ, Marine Ecol Res Ctr, Coffs Harbour, NSW, Australia; [Butcher, Paul A.; Coleman, Melinda A.] Natl Marine Sci Ctr, New South Wales Dept Primary Ind, Coffs Harbour, NSW, Australia",Southern Cross University; Southern Cross University; Southern Cross University; NSW Department of Primary Industries,"Provost, EJ (corresponding author), Southern Cross Univ, Natl Marine Sci Ctr, 2 Bay Dr, Coffs Harbour, NSW, Australia.;Provost, EJ (corresponding author), Marine Ecol Res Ctr, 2 Bay Dr, Coffs Harbour, NSW, Australia.",euanjprovost@gmail.com,"Butcher, Paul/T-4367-2019; Kelaher, Brendan/P-3647-2017","Butcher, Paul/0000-0001-7338-6037; Kelaher, Brendan/0000-0002-7505-4412; Provost, Euan/0000-0001-8128-9560",Southern Cross University; ARC LIEF [LE170100007]; SCU; Commonwealth Government,Southern Cross University; ARC LIEF(Australian Research Council); SCU; Commonwealth Government,"The project was administered and funded by Southern Cross University and funding for drone equipment provided through an ARC LIEF Grant (LE170100007) for BPK, PAB and MAC. EJP was supported by a PhD scholarship through SCU and the Commonwealth Government.",,62,17,17,0,10,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0969-997X,1365-2400,,FISHERIES MANAG ECOL,Fisheries Manag. Ecol.,DEC,2020,27,6,,,,,615,621,,10.1111/fme.12452,http://dx.doi.org/10.1111/fme.12452,,AUG 2020,7,Fisheries,Science Citation Index Expanded (SCI-EXPANDED),Fisheries,OP0OK,,,,,2023-11-27,WOS:000557866800001,View Full Record in Web of Science
J,"Kopaska, J",,,,"Kopaska, Jeff",,,Drones-A Fisheries Assessment Tool?,FISHERIES,,,English,Editorial Material,,,,,,,,,"Iowa Dept Nat Resources, Boone, IA 50036 USA",,"Kopaska, J (corresponding author), Iowa Dept Nat Resources, 1436 255th St, Boone, IA 50036 USA.",Jeff.Kopaska@dnr.iowa.gov,,"Kopaska, Jeffery/0000-0001-6548-5043",,,,,0,14,14,0,8,TAYLOR & FRANCIS INC,PHILADELPHIA,"530 CHESTNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",0363-2415,1548-8446,,FISHERIES,Fisheries,,2014,39,7,,,,,319,336,,10.1080/03632415.2014.923771,http://dx.doi.org/10.1080/03632415.2014.923771,,,2,Fisheries,Science Citation Index Expanded (SCI-EXPANDED),Fisheries,AM8HY,,,,,2023-11-27,WOS:000340115400009,View Full Record in Web of Science
J,"Provost, EJ; Butcher, PA; Coleman, MA; Bloom, D; Kelaher, BP",,,,"Provost, Euan J.; Butcher, Paul A.; Coleman, Melinda A.; Bloom, Daniel; Kelaher, Brendan P.",,,Aerial drone technology can assist compliance of trap fisheries,FISHERIES MANAGEMENT AND ECOLOGY,,,English,Article,,,,,,compliance; fisheries management; illegal fishing; infrared; traps; UAV,PROTECTED AREAS; ILLEGAL; CRAB; ENHANCEMENT; IMAGERY; IMPACT; GEAR,"Illegal fishing is a global issue that threatens the viability of fishing industries and biodiversity conservation. Management agencies typically use on-ground surveillance to monitor and minimise illegal fishing practices, the efficacy of which may be enhanced by integrating emerging remote sensing technology. Affordable drones may contribute to cost-effective detection of illegal fishing activity and associated gear, although their application has yet to be evaluated in many types of fisheries. Here, the utility of drones for the detection of crab traps and floats set in a shallow estuary was quantitatively tested, and the effects of survey altitudes, cameras and monitor screens on detection rates were determined. It was found that drone flight altitude and float colour influenced the detection rates of common crab trap floats, with infrared cameras improving the detection of floats camouflaged by black paint. However, the type of monitor screen used by the drone operator had no influence on the detection of crab traps. Overall, it appears drones can contribute to cost-effective compliance in estuarine trap fisheries, and the approach can contribute to evidence-based standard operating procedures.","[Provost, Euan J.; Butcher, Paul A.; Coleman, Melinda A.; Bloom, Daniel; Kelaher, Brendan P.] Southern Cross Univ, Natl Marine Sci Ctr, Coffs Harbour, NSW, Australia; [Provost, Euan J.; Butcher, Paul A.; Coleman, Melinda A.; Bloom, Daniel; Kelaher, Brendan P.] Southern Cross Univ, Marine Ecol Res Ctr, Coffs Harbour, NSW, Australia; [Butcher, Paul A.; Coleman, Melinda A.] New South Wales Dept Primary Ind, Natl Marine Sci Ctr, Coffs Harbour, NSW, Australia",Southern Cross University; Southern Cross University; Southern Cross University; NSW Department of Primary Industries,"Provost, EJ (corresponding author), Southern Cross Univ, Natl Marine Sci Ctr, Coffs Harbour, NSW, Australia.;Provost, EJ (corresponding author), Southern Cross Univ, Marine Ecol Res Ctr, Coffs Harbour, NSW, Australia.",euanjprovost@gmail.com,"Butcher, Paul/T-4367-2019; Provost, Euan/AAQ-9241-2020; Kelaher, Brendan/P-3647-2017","Butcher, Paul/0000-0001-7338-6037; Provost, Euan/0000-0001-8128-9560; Kelaher, Brendan/0000-0002-7505-4412",,,,,45,11,12,1,20,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0969-997X,1365-2400,,FISHERIES MANAG ECOL,Fisheries Manag. Ecol.,AUG,2020,27,4,,,,,381,388,,10.1111/fme.12420,http://dx.doi.org/10.1111/fme.12420,,,8,Fisheries,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Fisheries,ME7WU,,,,,2023-11-27,WOS:000544866100008,View Full Record in Web of Science
J,"Bloom, D; Butcher, PA; Colefax, AP; Provost, EJ; Cullis, BR; Kelaher, BP",,,,"Bloom, Daniel; Butcher, Paul A.; Colefax, Andrew P.; Provost, Euan J.; Cullis, Brian R.; Kelaher, Brendan P.",,,Drones detect illegal and derelict crab traps in a shallow water estuary,FISHERIES MANAGEMENT AND ECOLOGY,,,English,Article,,,,,,drone; enforcement; fisheries; illegal fishing; RPAS; surveillance; traps,UNMANNED AIRCRAFT SYSTEMS; FISHERIES MANAGEMENT; AERIAL SURVEYS; ENHANCEMENT; COMPONENTS; KNOWLEDGE; ABUNDANCE; IMPACTS; IMAGERY; TRENDS,"The issues surrounding illegal, unregulated and unreported fishing, and that of abandoned, lost and discarded fishing gears, leading to ghost fishing, are intensifying. Estuarine crab trapping is likely subject to high levels of illegal and potential ghost fishing, because it also has good economic incentives regarding potential catch, low gear acquisition costs and accessible fishing grounds. To improve the efficiency and effectiveness of fisheries monitoring, control and surveillance operations, the efficacy of small consumer-grade drones for sighting traps in an estuary in NSW, Australia, was tested. Twelve sets of two flights were undertaken at 20 and 30 m altitude over a 600-m stretch of estuary for 5 days to quantify the detectability of submerged mesh traps of three different mesh colours. The drone was able to detect the majority of traps efficiently, with depth in relation to water clarity being the main factor affecting detection. In shallow water, detection rates were high for all mesh colours, but in the slightly deeper placements, orange traps were more readily detected. This study demonstrates that drones could be an efficient and reliable tool for rapidly assessing areas for illegal and derelict traps and can be supplemented into land or vessel-based fisheries operations.","[Bloom, Daniel; Butcher, Paul A.; Colefax, Andrew P.; Provost, Euan J.; Kelaher, Brendan P.] Southern Cross Univ, Natl Marine Sci Ctr, Coffs Harbour, NSW, Australia; [Butcher, Paul A.] Natl Marine Sci Ctr, NSW Dept Primary Ind, Coffs Harbour, NSW, Australia; [Cullis, Brian R.] Univ Wollongong, Fac Engn & Informat Sci, Natl Inst Appl Stat Res Australia, Wollongong, NSW, Australia",Southern Cross University; NSW Department of Primary Industries; Southern Cross University; University of Wollongong,"Butcher, PA (corresponding author), Natl Marine Sci Ctr, NSW Dept Primary Ind, Coffs Harbour, NSW, Australia.",paul.butcher@dpi.nsw.gov.au,"Butcher, Paul/T-4367-2019; Provost, Euan/AAQ-9241-2020; cullis, brian r/E-7078-2010; Kelaher, Brendan/P-3647-2017","Butcher, Paul/0000-0001-7338-6037; Provost, Euan/0000-0001-8128-9560; Kelaher, Brendan/0000-0002-7505-4412; Cullis, Brian/0000-0001-6319-8155; Colefax, Andrew/0000-0003-4720-0256",,,,,56,18,18,1,24,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0969-997X,1365-2400,,FISHERIES MANAG ECOL,Fisheries Manag. Ecol.,AUG,2019,26,4,,,,,311,318,,10.1111/fme.12350,http://dx.doi.org/10.1111/fme.12350,,,8,Fisheries,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Fisheries,IL0SO,,,,,2023-11-27,WOS:000477010400001,View Full Record in Web of Science
J,"Winkler, AC; Butler, EC; Attwood, CG; Mann, BQ; Potts, WM",,,,"Winkler, Alexander C.; Butler, Edward C.; Attwood, Colin G.; Mann, Bruce Q.; Potts, Warren M.",,,The emergence of marine recreational drone fishing: Regional trends and emerging concerns,AMBIO,,,English,Article,,,,,,Governance; Recreational fisheries; South Africa; Technology creep; Unconventional data; Unmanned aerial vehicles,CATCH-AND-RELEASE; PHYSIOLOGICAL STRESS; REFLEX IMPAIRMENT; SOCIAL MEDIA; FISHERIES; BONEFISH; BEHAVIOR; ENTANGLEMENT; PREDATION; INTERNET,"Online evidence suggests that there has been an increase in interest of using unmanned aerial vehicles or drones during land-based marine recreational fishing. In the absence of reliable monitoring programs, this study used unconventional publicly available online monitoring methodologies to estimate the growing interest, global extent, catch composition and governance of this practice. Results indicated a 357% spike in interest during 2016 primarily in New Zealand, South Africa and Australia. From an ecological perspective, many species targeted by drone fishers are vulnerable to overexploitation, while released fishes may experience heightened stress and mortality. From a social perspective, the ethics of drone fishing are being increasingly questioned by many recreational anglers and we forecast the potential for increased conflict with other beach users. In terms of governance, no resource use legislation specifically directed at recreational drone fishing was found. These findings suggest that drone fishing warrants prioritised research and management consideration.","[Winkler, Alexander C.] Univ Algarve, Ctr Ciencias Mar CCMAR, Faro, Portugal; [Winkler, Alexander C.; Butler, Edward C.; Potts, Warren M.] Rhodes Univ, Dept Ichthyol & Fisheries Sci, Makhanda, South Africa; [Attwood, Colin G.] Univ Cape Town, Biol Sci Dept, Cape Town, South Africa; [Mann, Bruce Q.] South African Assoc Marine Biol Res, Durban, South Africa",Universidade do Algarve; Rhodes University; University of Cape Town,"Winkler, AC (corresponding author), Univ Algarve, Ctr Ciencias Mar CCMAR, Faro, Portugal.;Winkler, AC (corresponding author), Rhodes Univ, Dept Ichthyol & Fisheries Sci, Makhanda, South Africa.",alexwinkrsa@gmail.com; e.butler@ru.ac.za; Colin.Attwood@uct.ac.za; bruce@ori.org.za; w.potts@ru.ac.za,"Butler, Edward Claude/AAZ-3043-2020","Butler, Edward Claude/0000-0001-6430-4589; Winkler, Alexander/0000-0001-7864-8243; Potts, Warren/0000-0002-6707-0383; Attwood, Colin/0000-0002-1045-3439",,,,,70,4,4,1,9,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0044-7447,1654-7209,,AMBIO,Ambio,MAR,2022,51,3,,,,,638,651,,10.1007/s13280-021-01578-y,http://dx.doi.org/10.1007/s13280-021-01578-y,,JUN 2021,14,"Engineering, Environmental; Environmental Sciences",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Engineering; Environmental Sciences & Ecology,YP0LB,34145559,Green Published,,,2023-11-27,WOS:000663256000002,View Full Record in Web of Science
J,"Toonen, HM; Bush, SR",,,,"Toonen, Hilde M.; Bush, Simon R.",,,"The digital frontiers of fisheries governance: fish attraction devices, drones and satellites",JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,,,English,Article,,,,,,Informational governance; fisheries; IUU fishing; marine sociology; transparency,VESSEL MONITORING-SYSTEM; TUNA FISHERIES; ENVIRONMENT; FADS; SURVEILLANCE; CONSERVATION; BIODIVERSITY; INFORMATION; MANAGEMENT; KNOWLEDGE,"High seas fisheries remain one of the least transparent global production practices. Distance from shore, coupled with the highly mobile nature of fish stocks, has put attention on new monitoring, control and surveillance technologies to collect spatially referenced data on the location of fishing vessels, gears and even fish stocks and eradicate illegal, unreported and unregulated fishing activity. Faced with their nascent implementation, research is yet to address how these technologies are reconfiguring the roles and responsibilities of public and private actors involved in fisheries management, including who collects and controls fisheries related information. In this paper, we compare three monitoring, control and surveillance technologies that are gaining traction in fisheries; the use of private fish attraction devices in oceanic tuna fisheries, unmanned public drones for marine surveillance and global satellite monitoring of fishing vessels. In doing so, we question how different configurations of actors are structuring flows of information and with what effect on sustainability performance of high seas fisheries. We also explore how these technologies configure new (and imagined) geographies of high seas fisheries which challenge existing modes of fisheries management.","[Toonen, Hilde M.; Bush, Simon R.] Wageningen Univ, Environm Policy Grp, Wageningen, Netherlands; [Toonen, Hilde M.] Wageningen Univ, CONTACT,Hilde M,Toonen,Environm Policy Grp, Wageningen, Netherlands",Wageningen University & Research; Wageningen University & Research,"Toonen, HM (corresponding author), Wageningen Univ, Environm Policy Grp, Wageningen, Netherlands.;Toonen, HM (corresponding author), Wageningen Univ, CONTACT,Hilde M,Toonen,Environm Policy Grp, Wageningen, Netherlands.",hilde.toonen@wur.nl,,,,,,,83,50,51,1,14,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",1523-908X,1522-7200,,J ENVIRON POL PLAN,J. Environ. Pol. Plan.,JAN 2,2020,22,1,,,SI,,125,137,,10.1080/1523908X.2018.1461084,http://dx.doi.org/10.1080/1523908X.2018.1461084,,,13,Development Studies; Regional & Urban Planning,Social Science Citation Index (SSCI),Development Studies; Public Administration,KO4XZ,,hybrid,,,2023-11-27,WOS:000515555700009,View Full Record in Web of Science
C,"Nishitani, A; Kawada, R; Kojima, J",,,IEEE,"Nishitani, Akihiko; Kawada, Ryoichi; Kojima, Junichi",,,Development of combined aerial and underwater drone system,2022 OCEANS HAMPTON ROADS,OCEANS-IEEE,,English,Proceedings Paper,OCEANS Hampton Roads Conference,"OCT 17-20, 2022",ELECTR NETWORK,,,underwater drone; ROV; aerial drone; underwater observation; underwater video; acoustic positioning; SSBL; marine infrastructure; aquaculture facilities,,"When conducting underwater observations in coastal fisheries and other offshore commercial operations, efficiency and safety are important considerations. We developed a combined aerial and underwater drone system that carries and flies with an underwater drone (Remotely Operated Vehicle: ROV). It can fly quickly and automatically to the target area to carry out observations without using a surface vessel. This drone can be operated remotely through a 4G mobile network, with underwater navigation and observation. Specifically, after the aerial drone carrying the ROV arrives at the target area automatically, and having landed on the water, it separates from the ROV, and the ROV dives under the sea. After the underwater observation work has been completed, the aerial drone docks with the ROV and lifts off from the surface of the water and returns to the land base station. Through sea trials, it was demonstrated that this combined aerial and underwater drone system could perform underwater observation successfully.","[Nishitani, Akihiko; Kawada, Ryoichi; Kojima, Junichi] KDDI Res Inc, Tokyo, Japan","KDDI Corporation; KDDI Research, Inc.","Nishitani, A (corresponding author), KDDI Res Inc, Tokyo, Japan.",ak-nishitani@kddi.com; ry-kawada@kddi.com; kojima@kddi-research.jp,,,,,,,10,0,0,2,3,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",0197-7385,,978-1-6654-6809-1,OCEANS-IEEE,,,2022,,,,,,,,,,10.1109/OCEANS47191.2022.9977370,http://dx.doi.org/10.1109/OCEANS47191.2022.9977370,,,5,"Engineering, Marine; Engineering, Ocean; Oceanography",Conference Proceedings Citation Index - Science (CPCI-S),Engineering; Oceanography,BU6IQ,,,,,2023-11-27,WOS:000925311400418,View Full Record in Web of Science
J,"Harris, JM; Nelson, JA; Rieucau, G; Broussard, WP",,,,"Harris, J. Mason; Nelson, James A.; Rieucau, Guillaume; Broussard, Whitney P., III",,,Use of Drones in Fishery Science,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,,,English,Article,,,,,,,UNMANNED AIRCRAFT SYSTEMS; AERIAL SYSTEMS; WILDLIFE RESEARCH; COASTAL; UAV; PHOTOGRAMMETRY; CLASSIFICATION; ALTITUDE; SALMON,"The use of unmanned aircraft systems (UASs), commonly referred to as drones, has rapidly expanded across many scientific disciplines. Like other fields, fisheries research would benefit significantly from broader use of this emerging technology but has lagged behind other disciplines. Like the implementation of satellite and aircraft-based remote sensing technology in previous decades brought a greater understanding of large-scale spatial patterns and processes, UAS technology has the potential to put those tools in the hands of individual researchers, allowing implementation at finer spatial and temporal scales for a fraction of the cost. Our goal is to provide a how-to for fisheries researchers interested in using UAS technology. We outline the necessary steps for any UAS project from choosing the appropriate platform and sensors to data acquisition and analysis. We also present the current ways in which UASs are being used in a fisheries research context as well as potential future research directions.","[Harris, J. Mason; Nelson, James A.] Univ Louisiana, Dept Biol, 410 E St Mary Blvd, Lafayette, LA 70504 USA; [Rieucau, Guillaume] Louisiana Univ Marine Consortium, 8124 Highway 56, Chauvin, LA 70344 USA; [Broussard, Whitney P., III] JESCO Inc, 1701 South Thibodeaux Rd, Jennings, LA 70546 USA",University of Louisiana Lafayette,"Harris, JM (corresponding author), Univ Louisiana, Dept Biol, 410 E St Mary Blvd, Lafayette, LA 70504 USA.",jmharris1@louisiana.edu,"Nelson, James/H-5883-2019","Nelson, James/0000-0003-4607-3953; Rieucau, Guillaume/0000-0002-8968-4992","Louisiana Sea Grant; Louisiana Sea Grant Research Scholars Program; Rockefeller Wildlife Refuge; Institute for Coastal and Water Research at the University of Louisiana, Lafayette; Louisiana Universities Marine Consortium","Louisiana Sea Grant; Louisiana Sea Grant Research Scholars Program; Rockefeller Wildlife Refuge; Institute for Coastal and Water Research at the University of Louisiana, Lafayette; Louisiana Universities Marine Consortium","This work was supported by Louisiana Sea Grant, the Louisiana Sea Grant Research Scholars Program, the Rockefeller Wildlife Refuge, and the Institute for Coastal and Water Research at the University of Louisiana, Lafayette. We are also grateful for support from the Louisiana Universities Marine Consortium. There is no conflict of interest declared in this article.",,65,33,33,0,29,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0002-8487,1548-8659,,T AM FISH SOC,Trans. Am. Fish. Soc.,JUL,2019,148,4,,,,,687,697,,10.1002/tafs.10168,http://dx.doi.org/10.1002/tafs.10168,,,11,Fisheries,Science Citation Index Expanded (SCI-EXPANDED),Fisheries,IJ6AX,,,,,2023-11-27,WOS:000475985600001,View Full Record in Web of Science
C,"Wada, M; Nishioka, K",,,IEEE,"Wada, Masaaki; Nishioka, Kenta",,,Visualizing the drift of fishing gear using drone,OCEANS 2017 - ANCHORAGE,OCEANS-IEEE,,English,Proceedings Paper,Conference on OCEANS,"SEP 18-21, 2017","Anchorage, AK",,,visualization; image processing; fishing gear; octopus drift fishing; drone,,"The authors have been working on support of coastal fishing utilizing ICT since 2004. We have realized two visualizations for the sustainable fishery until now. One is visualization of resources for capture fishing using digital diary and the other is visualization of environment for culture fishing using small buoys. In this paper, we propose the visualization of technology for octopus drift fishing using drone as the third visualization. The experimental results showed that we were able to calculate the drift speed of fishing gear by image processing of video of fishing ground taken by drone.","[Wada, Masaaki; Nishioka, Kenta] Future Univ Hakodate, Sch Syst Informat Sci, Hakodate, Hokkaido, Japan",Future University Hakodate,"Wada, M (corresponding author), Future Univ Hakodate, Sch Syst Informat Sci, Hakodate, Hokkaido, Japan.",wada@fun.ac.jp,,,"Hitachi Industry & Control Solutions, Ltd.","Hitachi Industry & Control Solutions, Ltd.","The work in this paper was supported by Hitachi Industry & Control Solutions, Ltd. We express our gratitude here. Also the authors wish to thank Takahiro ITAYA and Wataru YONEKURA for their kind cooperation in the experiment.",,2,0,0,0,2,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",0197-7385,,,OCEANS-IEEE,,,2017,,,,,,,,,,,,,,4,"Engineering, Marine; Engineering, Electrical & Electronic; Oceanography",Conference Proceedings Citation Index - Science (CPCI-S),Engineering; Oceanography,BL7GR,,,,,2023-11-27,WOS:000455012000098,View Full Record in Web of Science
J,"Raoult, V; Gaston, TF",,,,"Raoult, V.; Gaston, T. F.",,,Rapid biomass and size-frequency estimates of edible jellyfish populations using drones,FISHERIES RESEARCH,,,English,Article,,,,,,Scyphozoan; Fisheries; UAV; Cnidarian; Estuary; Monitoring,AERIAL VEHICLES UAVS; CATOSTYLUS-MOSAICUS; SMITHS LAKE; RHIZOSTOMEAE; BLOOMS; LAGOON; AGGREGATIONS; SCYPHOZOA; AUSTRALIA; FISHERIES,"There has been an international increase in the demand of edible jellyfish products, but traditional means of monitoring jellyfish populations using fisheries techniques may not be ideal. The boom-and-bust nature of many jellyfish populations means that biomass estimates used in monitoring need to be rapid and accurate, and assessing the temporal and spatial variability of jellyfish populations can also help determine their ecological role. Here we used off-the-shelf drone technology coupled with automated image processing to show that densities, size measurements and biomass estimates of an edible jellyfish, the Jelly Blubber Catostylus mosaicus, can be rapidly estimated over much larger areas than traditional field sampling and without requiring fishing effort. Estimated biomass within Smiths Lake, New South Wales, Australia was roughly 350 kg per hectare, and size frequency distributions were skewed towards larger specimens compared to previous studies in other locations. Drone counts were similar to a visual census which provides further evidence that this rapid and relatively automated method has potential to be used more widely in ecological monitoring.","[Raoult, V.; Gaston, T. F.] Univ Newcastle, Sch Environm & Life Sci, Ourimbah, NSW 2258, Australia",University of Newcastle,"Raoult, V (corresponding author), Univ Newcastle, Sch Environm & Life Sci, Ourimbah, NSW 2258, Australia.",Vincent.raoult@newcastle.edu.au,"Raoult, Vincent/H-6038-2019","Raoult, Vincent/0000-0001-9459-111X; Gaston, Troy/0000-0003-0049-0831",University of Newcastle,University of Newcastle,"This research was funded by the University of Newcastle, and did not receive any specific grant from funding agencies in the public, commercial, or non-for-profit sectors. Many thanks to Nicholas Brennan for the entertainment during fieldwork.",,30,25,28,2,46,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0165-7836,1872-6763,,FISH RES,Fish Res.,NOV,2018,207,,,,,,160,164,,10.1016/j.fishres.2018.06.010,http://dx.doi.org/10.1016/j.fishres.2018.06.010,,,5,Fisheries,Science Citation Index Expanded (SCI-EXPANDED),Fisheries,GQ9BC,,,,,2023-11-27,WOS:000442059900017,View Full Record in Web of Science
